InformationDate,USDtoZAR,USDtoZAR_Fill,USDtoZAR_MonthlyAver
1999-01-04,5.8832810246840275,5.8832810246840275,5.999789476322178
1999-01-05,5.765479219677693,5.765479219677693,5.999789476322178
1999-01-06,5.731669931022737,5.731669931022737,5.999789476322178
1999-01-07,5.8702716643741395,5.8702716643741395,5.999789476322178
1999-01-08,5.819967407153272,5.819967407153272,5.999789476322178
1999-01-09,,5.836644073723238,5.999789476322178
1999-01-10,,5.853320740293203,5.999789476322178
1999-01-11,5.869997406863169,5.869997406863169,5.999789476322178
1999-01-12,6.040017361111111,6.040017361111111,5.999789476322178
1999-01-13,6.177026566757492,6.177026566757492,5.999789476322178
1999-01-14,6.119969106667811,6.119969106667811,5.999789476322178
1999-01-15,6.209960433511095,6.209960433511095,5.999789476322178
1999-01-16,,6.137791971175269,5.999789476322178
1999-01-17,,6.065623508839443,5.999789476322178
1999-01-18,5.993455046503617,5.993455046503617,5.999789476322178
1999-01-19,6.040030991735537,6.040030991735537,5.999789476322178
1999-01-20,6.0,6.0,5.999789476322178
1999-01-21,6.031541652264086,6.031541652264086,5.999789476322178
1999-01-22,6.077634650298262,6.077634650298262,5.999789476322178
1999-01-23,,6.0729638460551945,5.999789476322178
1999-01-24,,6.068293041812128,5.999789476322178
1999-01-25,6.06362223756906,6.06362223756906,5.999789476322178
1999-01-26,6.039975824555345,6.039975824555345,5.999789476322178
1999-01-27,6.042674993494665,6.042674993494665,5.999789476322178
1999-01-28,6.060035056967573,6.060035056967573,5.999789476322178
1999-01-29,6.0439212930428665,6.0439212930428665,5.999789476322178
1999-01-30,,6.040952526637269,5.999789476322178
1999-01-31,,6.03798376023167,5.999789476322178
1999-02-01,6.035014993826072,6.035014993826072,6.1175695667417145
1999-02-02,6.009967363500045,6.009967363500045,6.1175695667417145
1999-02-03,6.009967363500045,6.009967363500045,6.1175695667417145
1999-02-04,6.030542484240433,6.030542484240433,6.1175695667417145
1999-02-05,6.032500885582714,6.032500885582714,6.1175695667417145
1999-02-06,,6.0063432900150096,6.1175695667417145
1999-02-07,,5.9801856944473055,6.1175695667417145
1999-02-08,5.9540280988796015,5.9540280988796015,6.1175695667417145
1999-02-09,6.08753198623489,6.08753198623489,6.1175695667417145
1999-02-10,6.1154117439605,6.1154117439605,6.1175695667417145
1999-02-11,6.0621463932107496,6.0621463932107496,6.1175695667417145
1999-02-12,6.097474208466737,6.097474208466737,6.1175695667417145
1999-02-13,,6.106241629871816,6.1175695667417145
1999-02-14,,6.1150090512768935,6.1175695667417145
1999-02-15,6.123776472681972,6.123776472681972,6.1175695667417145
1999-02-16,6.191660701503222,6.191660701503222,6.1175695667417145
1999-02-17,6.130009775171066,6.130009775171066,6.1175695667417145
1999-02-18,6.189992877492878,6.189992877492878,6.1175695667417145
1999-02-19,6.2324643912926625,6.2324643912926625,6.1175695667417145
1999-02-20,,6.232547828062163,6.1175695667417145
1999-02-21,,6.232631264831664,6.1175695667417145
1999-02-22,6.232714701601164,6.232714701601164,6.1175695667417145
1999-02-23,6.228006199288905,6.228006199288905,6.1175695667417145
1999-02-24,6.149406541632691,6.149406541632691,6.1175695667417145
1999-02-25,6.1874716707460795,6.1874716707460795,6.1175695667417145
1999-02-26,6.177527681974951,6.177527681974951,6.1175695667417145
1999-02-27,,6.172966752483574,6.1175695667417145
1999-02-28,,6.168405822992196,6.1175695667417145
1999-03-01,6.163844893500819,6.163844893500819,6.204338141310502
1999-03-02,6.238265821622118,6.238265821622118,6.204338141310502
1999-03-03,6.228369575190383,6.228369575190383,6.204338141310502
1999-03-04,6.239462543714338,6.239462543714338,6.204338141310502
1999-03-05,6.215802104485879,6.215802104485879,6.204338141310502
1999-03-06,,6.194931509334554,6.204338141310502
1999-03-07,,6.1740609141832286,6.204338141310502
1999-03-08,6.1531903190319035,6.1531903190319035,6.204338141310502
1999-03-09,6.147473073736537,6.147473073736537,6.204338141310502
1999-03-10,6.1625125536382725,6.1625125536382725,6.204338141310502
1999-03-11,6.177485997612708,6.177485997612708,6.204338141310502
1999-03-12,6.157519209659715,6.157519209659715,6.204338141310502
1999-03-13,,6.178444170034659,6.204338141310502
1999-03-14,,6.199369130409603,6.204338141310502
1999-03-15,6.220294090784547,6.220294090784547,6.204338141310502
1999-03-16,6.254930740299055,6.254930740299055,6.204338141310502
1999-03-17,6.254969906985227,6.254969906985227,6.204338141310502
1999-03-18,6.238830366872502,6.238830366872502,6.204338141310502
1999-03-19,6.221713238662392,6.221713238662392,6.204338141310502
1999-03-20,,6.205215551351757,6.204338141310502
1999-03-21,,6.188717864041121,6.204338141310502
1999-03-22,6.172220176730486,6.172220176730486,6.204338141310502
1999-03-23,6.196769456681351,6.196769456681351,6.204338141310502
1999-03-24,6.2150439238653,6.2150439238653,6.204338141310502
1999-03-25,6.222059093411635,6.222059093411635,6.204338141310502
1999-03-26,6.202496532593621,6.202496532593621,6.204338141310502
1999-03-27,,6.21748927088733,6.204338141310502
1999-03-28,,6.232482009181039,6.204338141310502
1999-03-29,6.247474747474748,6.247474747474748,6.204338141310502
1999-03-30,6.223041732798058,6.223041732798058,6.204338141310502
1999-03-31,6.190001861850679,6.190001861850679,6.204338141310502
1999-04-01,6.1735053843297445,6.1735053843297445,6.130114984590948
1999-04-02,6.165243223171185,6.165243223171185,6.130114984590948
1999-04-03,,6.166833775764917,6.130114984590948
1999-04-04,,6.1684243283586495,6.130114984590948
1999-04-05,6.170014880952381,6.170014880952381,6.130114984590948
1999-04-06,6.217508856983032,6.217508856983032,6.130114984590948
